Link,Price,Address,Bedrooms,Bathrooms,Size,Lot
https://www.realtor.com/realestateandhomes-detail/25373-Blackthorne-Dr_Murrieta_CA_92563_M28051-66938,"$575,000 ","25373 Blackthorne Dr, Murrieta, CA 92563",4bed,3bath,"1,870sqft",0.26acre lot
https://www.realtor.com/realestateandhomes-detail/989-N-Valley-Rd_Greenville_CA_95947_M26060-99426,"$325,000 ","989 N Valley Rd, Greenville, CA 95947",3bed,1bath,"1,400sqft",0.84acre lot
https://www.realtor.com/realestateandhomes-detail/334-Percheron-Ct_San-Jacinto_CA_92582_M21824-98192,"$415,000 ","334 Percheron Ct, San Jacinto, CA 92582",3bed,2bath,"1,759sqft","9,583sqft lot"
https://www.realtor.com/realestateandhomes-detail/334-Percheron-Ct_San-Jacinto_CA_92582_M21824-98192,"$415,000 ","334 Percheron Ct, San Jacinto, CA 92582",3bed,2bath,"1,759sqft","9,583sqft lot"
https://www.realtor.com/realestateandhomes-detail/1750-Citracado-Pkwy-Spc-53_Escondido_CA_92029_M17842-23614,"$499,000 ","1750 Citracado Pkwy Spc 53, Escondido, CA 92029",3bed,2bath,"1,792sqft","9,583sqft lot"
https://www.realtor.com/realestateandhomes-detail/1265-Dale-Way_Chico_CA_95926_M22275-96617,"$395,000 ","1265 Dale Way, Chico, CA 95926",4bed,1bath,"1,375sqft",0.25acre lot
https://www.realtor.com/realestateandhomes-detail/50-Escondido-Pl_La-Honda_CA_94020_M10364-89661,"$799,000 ","50 Escondido Pl, La Honda, CA 94020",1bed,1bath,770sqft,0.3acre lot
https://www.realtor.com/realestateandhomes-detail/12-Loorz-Ct_Sacramento_CA_95823_M19945-04077,"$360,000 ","12 Loorz Ct, Sacramento, CA 95823",3bed,2bath,"1,127sqft","5,998sqft lot"
https://www.realtor.com/realestateandhomes-detail/24405-Myers-Ave_Moreno-Valley_CA_92553_M14476-84547,"$389,900 ","24405 Myers Ave, Moreno Valley, CA 92553",2bed,2bath,"1,500sqft",0.46acre lot
https://www.realtor.com/realestateandhomes-detail/7221-Travis-Pl_Rancho-Cucamonga_CA_91739_M25717-02319,"$599,000 ","7221 Travis Pl, Rancho Cucamonga, CA 91739",4bed,2bath,"1,286sqft","4,500sqft lot"
