Link,Price,Address,CA,Bedroom,Bathroom,Size,Lot,Garage Spaces,Source Property Type,Year Built,Levels or Stories,County,Pool Features:
https://www.realtor.com/realestateandhomes-detail/25373-Blackthorne-Dr_Murrieta_CA_92563_M28051-66938,575000,"25373 Blackthorne Dr, Murrieta, CA 92563",CA 92563,4,3,1870,11326,3, Single Family Residence,1988, Two, Riverside,None
https://www.realtor.com/realestateandhomes-detail/989-N-Valley-Rd_Greenville_CA_95947_M26060-99426,325000,"989 N Valley Rd, Greenville, CA 95947",CA 95947,3,1,1400,36590,2, Site Built Conventional,1963,1, PLUMAS,None
https://www.realtor.com/realestateandhomes-detail/334-Percheron-Ct_San-Jacinto_CA_92582_M21824-98192,415000,"334 Percheron Ct, San Jacinto, CA 92582",CA 92582,3,2,1759,9583,3, Single Family Residence,2006, One, Riverside,None
https://www.realtor.com/realestateandhomes-detail/1750-Citracado-Pkwy-Spc-53_Escondido_CA_92029_M17842-23614,499000,"1750 Citracado Pkwy Spc 53, Escondido, CA 92029",CA 92029,3,2,1792,9583,, Single Family Residence,2005, One, San Diego,Pool Features: Community
https://www.realtor.com/realestateandhomes-detail/1265-Dale-Way_Chico_CA_95926_M22275-96617,395000,"1265 Dale Way, Chico, CA 95926",CA 95926,4,1,1375,10890,, Single Family Residence,1956, One, Butte,"Pool Features: Private, In Ground"
https://www.realtor.com/realestateandhomes-detail/50-Escondido-Pl_La-Honda_CA_94020_M10364-89661,799000,"50 Escondido Pl, La Honda, CA 94020",CA 94020,1,1,770,13068,, Single Family,1948,1, San Mateo,Pool Features: Community Facility
https://www.realtor.com/realestateandhomes-detail/12-Loorz-Ct_Sacramento_CA_95823_M19945-04077,360000,"12 Loorz Ct, Sacramento, CA 95823",CA 95823,3,2,1127,5998,2, Single Family Residence,1978,1, Sacramento,None
https://www.realtor.com/realestateandhomes-detail/24405-Myers-Ave_Moreno-Valley_CA_92553_M14476-84547,389900,"24405 Myers Ave, Moreno Valley, CA 92553",CA 92553,2,2,1500,20038,, Multi-Family,1931, One, Riverside,None
https://www.realtor.com/realestateandhomes-detail/7221-Travis-Pl_Rancho-Cucamonga_CA_91739_M25717-02319,599000,"7221 Travis Pl, Rancho Cucamonga, CA 91739",CA 91739,4,2,1286,4500,2, Single Family Residence,1987, One, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/151-Coriander-Ave_Morgan-Hill_CA_95037_M17448-57815,1790000,"151 Coriander Ave, Morgan Hill, CA 95037",CA 95037,5,3.5,3342,14375,3, Single Family,2006,2, Santa Clara,None
https://www.realtor.com/realestateandhomes-detail/4667-Country-Hills-Dr_Antioch_CA_94531_M23182-16017,599888,"4667 Country Hills Dr, Antioch, CA 94531",CA 94531,4,2.5,1838,9572,3, Detached,1989,2, Contra Costa,None
https://www.realtor.com/realestateandhomes-detail/26358-Bramble-Wood-Cir_Menifee_CA_92584_M12603-19886,639900,"26358 Bramble Wood Cir, Menifee, CA 92584",CA 92584,4,2,2008,6534,2, Single Family Residence,2018, One, Riverside,"Pool Features: Private, Heated, In Ground"
https://www.realtor.com/realestateandhomes-detail/2664-Southern-Pl_Woodland_CA_95776_M99720-09932,738000,"2664 Southern Pl, Woodland, CA 95776",CA 95776,5,3,2874,6007,3, Single Family Residence,2019,2, Yolo,None
https://www.realtor.com/realestateandhomes-detail/1295-S-Cawston-Ave-Spc-114_Hemet_CA_92545_M91354-41273,83000,"1295 S Cawston Ave Spc 114, Hemet, CA 92545",CA 92545,1,1,2874,6007,,,1992,, Riverside,Pool Features: Community
https://www.realtor.com/realestateandhomes-detail/172-W-3rd-St_Santa-Rosa_CA_95401_M29601-29426,805000,"172 W 3rd St, Santa Rosa, CA 95401",CA 95401,3,2,1699,6251,2, 2 Houses on Lot,2005,2, Sonoma,None
https://www.realtor.com/realestateandhomes-detail/34878-Heartland-Ln_Murrieta_CA_92563_M26347-21104,850000,"34878 Heartland Ln, Murrieta, CA 92563",CA 92563,5,4,3571,8276,3, Single Family Residence,2018, Two, Riverside,Pool Features: Association
https://www.realtor.com/realestateandhomes-detail/5414-Newcastle-Ave-Apt-26_Encino_CA_91316_M19031-04353,425000,"5414 Newcastle Ave Apt 26, Encino, CA 91316",CA 91316,3,2,1144,60984,2, Condominium,1967, One, Los Angeles,"Pool Features: Community, Fenced, In Ground"
https://www.realtor.com/realestateandhomes-detail/40912-La-Costa-Cir-E_Palm-Desert_CA_92211_M17637-07015,353000,"40912 LA Costa Cir E, Palm Desert, CA 92211",CA 92211,2,2,1177,2614,2, Condominium,1981,1, Riverside,None
https://www.realtor.com/realestateandhomes-detail/7-Velasco-Ct_Novato_CA_94949_M27821-56548,775000,"7 Velasco Ct, Novato, CA 94949",CA 94949,3,1.5,1480,1498,2, Condominium,1974,2, Marin,"Pool Features: Pool: Yes, Pool: Common Facility"
https://www.realtor.com/realestateandhomes-detail/4280-Estrada-Dr_Riverside_CA_92509_M29202-97881,525000,"4280 Estrada Dr, Jurupa Valley, CA 92509",CA 92509,3,2,1490,8276,2, Single Family Residence,1990, One, Riverside,Pool Features: Private
https://www.realtor.com/realestateandhomes-detail/208-E-Plymouth-St-13_Inglewood_CA_90302_M23820-91674,520000,"208 E Plymouth St Unit 13, Inglewood, CA 90302",CA 90302,3,2,1158,37462,2, Condominium,1989, Three Or More, Los Angeles,None
https://www.realtor.com/realestateandhomes-detail/18938-Wells-Dr_Tarzana_CA_91356_M20368-18255,4450000,"18938 Wells Dr, Tarzana, CA 91356",CA 91356,5,7,5800,18295,2, Single Family Residence,2019, Two, Los Angeles,"Pool Features: Private, Filtered, Heated, Waterfall"
https://www.realtor.com/realestateandhomes-detail/35825-Ivy-Ave_Yucaipa_CA_92399_M24795-92771,725000,"35825 Ivy Ave, Yucaipa, CA 92399",CA 92399,3,2,1695,40946,2, Single Family Residence,1963, One, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/62-Shaniko-Cmn_Fremont_CA_94539_M93613-16988,779000,"62 Shaniko Cmn, Fremont, CA 94539",CA 94539,3,2,1150,40946,1, Condo,1987,, Alameda,None
https://www.realtor.com/realestateandhomes-detail/3095-Martin-Dr_Tahoe-City_CA_96145_M15763-87476,939000,"3095 Martin Dr, Tahoe City, CA 96145",CA 96145,3,2,1702,14810,1, Single Family,1961, One, Placer,None
https://www.realtor.com/realestateandhomes-detail/12821-Sierra-Dr-E_Truckee_CA_96161_M92182-39323,1050000,"12821 Sierra Dr E, Truckee, CA 96161",CA 96161,3,3,2749,7405,2, Single Family,1993, Two, Nevada,None
https://www.realtor.com/realestateandhomes-detail/2908-W-138th-St_Gardena_CA_90249_M18179-04811,645000,"2908 W 138th St, Gardena, CA 90249",CA 90249,3,2,1312,5490,2, Single Family Residence,1956, One, Los Angeles,None
https://www.realtor.com/realestateandhomes-detail/1640-10th-Ave-Unit-201_San-Diego_CA_92101_M20175-74050,597000,"1640 10th Ave Unit 201, San Diego, CA 92101",CA 92101,2,2,1147,5490,1, Condominium,1983, One, San Diego,None
https://www.realtor.com/realestateandhomes-detail/1259-Southwood-Ln_Upland_CA_91786_M21465-87458,458000,"1259 Southwood Ln, Upland, CA 91786",CA 91786,2,2,1312,1300,2, Condominium,1978, One, San Bernardino,"Pool Features: Association, Community"
https://www.realtor.com/realestateandhomes-detail/4550-Hawk-Way_Dublin_CA_94568_M26179-83593,1548000,"4550 Hawk Way, Dublin, CA 94568",CA 94568,4,3,2300,4030,2, Detached,1997,2, Alameda,None
