https://www.realtor.com/realestateandhomes-detail/25373-Blackthorne-Dr_Murrieta_CA_92563_M28051-66938,575000,"25373 Blackthorne Dr, Murrieta, CA 92563",CA 92563,4,3,"1,870",11325.6,Bedrooms: 4,Bedrooms On Main Level: 1,Total Bathrooms: 3,Full Bathrooms: 3,Bathrooms On Main Level: 1,"Bathroom 1 Features: Bathtub, Low Flow Shower, Low Flow Toilet(s), Shower, Closet in bathroom, Double Sinks In Master Bath, Granite Counters, Privacy toilet door, Remodeled, Soaking Tub",Ceiling Fan(s),Copper Plumbing Full,Granite Counters,High Ceilings,Two Story Ceilings,Flooring: Laminate,"Kitchen Appliances: Dishwasher, Disposal, Gas Oven, Gas Range, Gas Water Heater, Self Cleaning Oven, Water Line to Refrigerator, Water Softener",Appliances YN: Y,"Laundry Features: Gas Dryer Hookup, In Closet, Washer Hookup",All Bedrooms Up,Cooling Features: Central Air,Fireplace Features: Fireplace: Y,"Heating Features: Central, Natural Gas",Heating: Yes,"Kitchen Features: Built-in Trash/Recycling, Granite Counters, Kitchen Open to Family Room, Remodeled Kitchen, Self-closing cabinet doors, Self-closing drawers","Fencing: Fence YN: Y, Fencing: Vinyl, Wood",Lot Description: Back Yard,Lot Size Acres: 0.26,Lot Size Source: Assessor,Lot Size Square Feet: 11326,Garage Spaces: 3,Garage Description: Attached,"Parking Features: Parking YN: Y, Parking Features: Garage",Parking Total: 3,View: View: Y,School District: Murrieta,Calculated Total Monthly Association Fees: 0,"Community Features: Sidewalks, Street Lights, Suburban",Source Listing Status: Active,County: Riverside,Directions: Whitewood Rd.,Source Property Type: Single Family Residence,Exclusions: Specific Plants,"Inclusions: Stove, Cabinets, Microwave Hood, Lighting Fixtures, Ceiling Fans, Built-in Appliances, Window Coverings, Air Conditioner, Garage Door Opener, Mailbox, Water Softener",Area: SRCAR - Southwest Riverside County,Source Neighborhood: SRCAR - Southwest Riverside County,Parcel Number: 912084012,Postal Code Plus 4: 5321,Source System Name: C2C,Total Square Feet Living: 1870.00,Year Built: 1988,Common Walls: No Common Walls,Living Area Source: Assessor,Property Age: 33,Roof: Clay,Levels or Stories: Two,Building Total Stories: 2,Year Built Source: Public Records,Architectural Style: Single Family Residence,Sewer: Public Sewer,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/989-N-Valley-Rd_Greenville_CA_95947_M26060-99426,325000,"989 N Valley Rd, Greenville, CA 95947",CA 95947,3,1,"1,400",36590.4,Bedrooms: 3,Total Bathrooms: 1 / 0,Full Bathrooms: 1,"Bathroom 1 Description: Shower Stall, Shower/Tub",Washer Hook Ups,"Interior Amenities: Breakfast Nook/Eat In Ktc, Utility Room, Pantry, Living Room, Kitchen","Flooring: Carpet, Laminate, Hardwood/Wood",Electric Range Oven,Washer,Dryer,Dishwasher,Refrigerator,Cooling Features: Ceiling Fans,Fireplace Features: Woodstove,"Heating Features: Woodstove, Forced Air",Basement Description: Crawl Space,Private Yard,Storage Shed/ Outbuilding,Outside Lighting,Dual Pane Windows,Fencing: Other Type,Frontage Type: Street,"Landscaping: Landscape Front, Fenced Partial",Lot Description: Residential Neighborhood,Lot Size Acres: 0.84,Topography: Level,Lot Size Square Feet: 36590,Driveway: Concrete,Garage Spaces: 2,Garage Description: 2 Detached,"Parking Features: Off-Street Parking, RV/Boat Parking, Street Parking",View: Valley,"Other Equipment: Water Heater: Propane, Equipment: CO Detector",Source Listing Status: ACTIVE,County: PLUMAS,Source Property Type: Site Built Conventional,Area: Indian Valley,Source Neighborhood: Indian Valley,Parcel Number: 004-070-006,Source System Name: C2C,Access: Paved,Total Square Feet Living: 1400,Year Built: 1963,Attic: Crawl Space only,Building Exterior Type: Wood,Construction Materials: Frame,Foundation Details: Perimeter,Property Age: 58,Roof: Metal,Levels or Stories: 1,Structure Type: RESIDENTIAL,Water Well,Sewer Septic,Electric Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/334-Percheron-Ct_San-Jacinto_CA_92582_M21824-98192,415000,"334 Percheron Ct, San Jacinto, CA 92582",CA 92582,3,2,"1,759",9583,Bedrooms: 3,Bedrooms On Main Level: 3,Total Bathrooms: 2,Full Bathrooms: 2,Bathrooms On Main Level: 2,"Bathroom 1 Features: Closet in bathroom, Double Sinks In Master Bath, Walk-in shower",Ceiling Fan(s),"Flooring: Carpet, Laminate, Tile","All Bedrooms Down, Kitchen, Laundry, Living Room, Master Bathroom, Master Bedroom, Separate Family Room","Laundry Features: Individual Room, Inside",Cooling Features: Central Air,Fireplace Features: Fireplace: Y,Heating Features: Central,Heating: Yes,Breakfast Room Description: In Kitchen,"Kitchen Features: Kitchen Island, Kitchen Open to Family Room, Tile Counters","Lot Description: Back Yard, Cul-De-Sac, Lawn, Lot 6500-9999, Irregular Lot",Lot Size Acres: 0.2199954,Lot Size Source: Assessor,Lot Size Square Feet: 9583,Garage Spaces: 3,Garage Description: Attached,"Parking Features: Parking YN: Y, Parking Features: Garage Faces Front, Garage - Three Door, Garage Door Opener",Parking Total: 3,View: View: Y,High School: San Jacinto,School District: San Jacinto Unified,Calculated Total Monthly Association Fees: 0,"Community Features: Sidewalks, Suburban",Source Listing Status: Active,County: Riverside,Directions: Snderson to Cottonwood to Kirby to Roanoke to Percheron Ct,Source Property Type: Single Family Residence,Area: SRCAR - Southwest Riverside County,Source Neighborhood: SRCAR - Southwest Riverside County,Parcel Number: 436511035,Postal Code Plus 4: 3231,Source System Name: C2C,Total Square Feet Living: 1759.00,Year Built: 2006,Common Walls: No Common Walls,Construction Materials: Stucco,Living Area Source: Assessor,Property Age: 15,Levels or Stories: One,Building Total Stories: 1,Year Built Source: Assessor,Architectural Style: Single Family Residence,Electric: Photovoltaics Seller Owned,Sewer: Public Sewer,Electricity Connected,Natural Gas Connected,Sewer Connected,Water Connected,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/1750-Citracado-Pkwy-Spc-53_Escondido_CA_92029_M17842-23614,499000,"1750 Citracado Pkwy Spc 53, Escondido, CA 92029",CA 92029,3,2,"1,792",9583,Bedrooms: 3,Total Bathrooms: 2,Full Bathrooms: 2,"Kitchen, Living Room, Master Bathroom, Master Bedroom","Laundry Features: Inside, Washer Hookup, Gas Dryer Hookup",Cooling Features: Central Air,Pool Features: Community,Lot Description: 0-1 Unit/Acre,Lot Size Source: Assessor,View: View: Y,Association: Yes,"Association Amenities: Clubhouse, Pool, Tennis Court(s)",Association Fee: 195,Association Fee Frequency: Monthly,Calculated Total Monthly Association Fees: 195,School District: Escondido Union,Community Features: Street Lights,Source Listing Status: Active,County: San Diego,Directions: Citracado Pkwy in Mountain Shadows Park,Source Property Type: Single Family Residence,Area: 92029 - Escondido,Source Neighborhood: 92029 - Escondido,Parcel Number: 2351631353,Zoning: R1,Source System Name: C2C,Total Square Feet Living: 1792.00,Year Built: 2005,Common Walls: No Common Walls,Living Area Source: Assessor,Property Age: 16,Levels or Stories: One,Year Built Source: Assessor,Architectural Style: Single Family Residence,Sewer: Public Sewer,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/1265-Dale-Way_Chico_CA_95926_M22275-96617,395000,"1265 Dale Way, Chico, CA 95926",CA 95926,4,1,"1,375",10890,Bedrooms: 4,Bedrooms On Main Level: 4,Total Bathrooms: 1,Full Bathrooms: 1,Bathrooms On Main Level: 1,Beamed Ceilings,Flooring: Wood,Window Features: Double Pane Windows,"Kitchen Appliances: Dishwasher, Gas Range",Appliances YN: Y,"Laundry Features: Individual Room, Inside",Great Room,Cooling Features: Central Air,Fireplace Features: Fireplace: Y,Heating Features: Central,Heating: Yes,"Pool Features: Private, In Ground",Pool Private: Yes,"Spa Features: Spa: Y, Spa Features: Above Ground","Patio And Porch Features: Patio YN: Y, Patio And Porch Features: Covered","Lot Description: Back Yard, Corner Lot, Yard",Lot Size Acres: 0.25,Lot Size Source: Assessor,Lot Size Square Feet: 10890,"Parking Features: Parking YN: Y, Parking Features: Attached Carport, Driveway",View: View: Y,School District: Chico Unified,Calculated Total Monthly Association Fees: 0,Community Features: Suburban,Source Listing Status: Active,County: Butte,"Directions: North on East 1st Ave, Left on Manzanita, Right on Howard Dr, Home is on the Corner of Howard and Dale #1265",Source Property Type: Single Family Residence,Parcel Number: 015390021000,Postal Code Plus 4: 7305,Source System Name: C2C,Total Square Feet Living: 1375.00,Year Built: 1956,Common Walls: No Common Walls,Living Area Source: Appraiser,Property Age: 65,Levels or Stories: One,Year Built Source: Assessor,Architectural Style: Single Family Residence,Sewer: Conventional Septic,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/50-Escondido-Pl_La-Honda_CA_94020_M10364-89661,799000,"50 Escondido Pl, La Honda, CA 94020",CA 94020,1,1,770,13068,Bedrooms: 1,Total Bathrooms: 1,Full Bathrooms: 1,Built-in Vacuum,Garden Window,Security Gate,Flooring: Tile,Built-in Vacuum,Garden Window,Security Gate,"Laundry Features: In Utility Room, Tub / Sink, Washer / Dryer",Countertop - Other,Dishwasher,Dual Fuel,Garbage Disposal,Hood Over Range,Oven Range,Refrigerator,Cooling Features: Ceiling Fan,"Fireplace Features: Gas Burning Fireplace, Fireplace Insert","Heating Features: Electric Heating, Fireplace , Individual Room Heat Controls, Propane Heating, Radiant Heating","Extra Room-1 Description: Great Room, Laundry Room, Utility Room",Family Room Description: Kitchen / Family Room Combo,Pool Features: Community Facility,Carport Spaces: 2,Parking Features: Carport,Lot Size Acres: 0.2984,Lot Size Source: Assessor,Lot Size Square Feet: 13000,"View: Forest / Woods, Garden / Greenbelt, Hills, Neighborhood","Energy Information: Ceiling Insulation, Double Pane Windows, Insulation - Floor, Low Flow Toilet, Tankless Water Heater, Thermostat Controller",Security Features: Fire System - Sprinkler,"Yard: Back Yard, Deck , Fenced",Built-in Vacuum,Garden Window,Security Gate,Association: Yes,"Association Amenities: BBQ Area, Club House, Community Pool, Garden / Greenbelt / Trails, Playground, Tennis Court / Facility",Association Fee: 395,Association Fee Frequency: Monthly,"Association Fee Includes: Maintenance - Common Area, Pool, Spa, or Tennis, Water",Calculated Total Monthly Association Fees: 395,Association Name: Cuesta La Honda Guild,High School District: La Honda-Pescadero Unified,Source Listing Status: Active,County: San Mateo,Cross Street: Scenic Drive,"Directions: Highway 84 to Entrada, continue to 50 Escondido Pl. Home is first home past playground.",Source Property Type: Single Family,Area: Cuesta / La Honda,Source Neighborhood: Cuesta / La Honda,Parcel Number: 083-080-330,Postal City: LA HONDA,Zoning: R10006,Source System Name: C2C,Total Square Feet Living: 770,Year Built: 1948,Foundation Details: Combination,Property Age: 73,Roof: Composition,Levels or Stories: 1,Total Area Sqft: 770,Year Built Source: Assessor,"Amenities Misc.: Built-in Vacuum, Garden Window, Security Gate",Sewer: Septic Connected,Individual Electric Meters,Propane On Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/12-Loorz-Ct_Sacramento_CA_95823_M19945-04077,360000,"12 Loorz Ct, Sacramento, CA 95823",CA 95823,3,2,"1,127",5998,Bedrooms: 3,"Equipment: Gas Water Heater, Dishwasher, Disposal, Free Standing Electric Oven, Free Standing Electric Range",Laundry Facilities: In Garage,"Dining Room, Kitchen",Living Room Features: Great Room,Cooling Features: Central,Heating Features: Central,Full Bathrooms: 2,"Master Bathroom Features: Shower Stall(s), Window","Bathroom 1 Features: Shower Stall(s), Tile, Window",Dining Room Description: Dining/Living Combo,"Kitchen Features: Pantry Cabinet, Granite Counter","Flooring: Laminate, Vinyl",Lot Description: Cul-De-Sac,Lot Size Acres: 0.1377,Lot Size Units: Acres,Lot Size Square Feet: 5998,Garage Spaces: 2,"Garage Description: Attached, Garage Door Opener",Road Responsibility: Public Maintained Road,"Roads: Asphalt, Paved",Association: No,Calculated Total Monthly Association Fees: 0,School District: Sacramento,Source Listing Status: Active,County: Sacramento,Cross Street: Center Parkway,"Directions: Take 99 South exit Mack Road, left on Center Park Way and left to Loorz Ct to the number.",Source Property Type: Single Family Residence,Area: Sacto Franklin/Freeport/Vicinity,Source Neighborhood: 10823,Parcel Number: 117-0390-030-0000,Postal Code Plus 4: 4613,Zoning: res,Property Subtype: Attached,Source System Name: C2C,Irrigation Source: Meter on Site,Electric: 220 Volts in Laundry,"Sewer: Sewer Connected, In & Connected",All Public,Water Source: Public,Year Built: 1978,"Construction Materials: Concrete, Stucco",Foundation Details: Concrete,Levels: One,Living Area Source: Assessor Auto-Fill,Property Age: 43,Roof: Roof Description:Shingle,Levels or Stories: 1,"House Style: A-Frame, Ranch","Security Features: Carbon Mon Detector, Smoke Detector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/24405-Myers-Ave_Moreno-Valley_CA_92553_M14476-84547,389900,"24405 Myers Ave, Moreno Valley, CA 92553",CA 92553,2,2,"1,500",20037.6,Bedrooms: 2,Appliances: Gas Oven,Appliances YN: Y,Laundry Features: Inside,"Kitchen, Living Room, Master Bedroom",Cooling Features: Wall/Window Unit(s),Heating Features: Wall Furnace,Heating: Yes,Full Bathrooms: 2,Flooring: Tile,"Lot Description: 0-1 Unit/Acre, Lot 20000-39999 Sqft",Lot Size Acres: 0.46,Lot Size Source: Assessor,Lot Size Square Feet: 20038,"Road Surface Type: Maintained, Paved",Number of Units: 2,Bedrooms in Unit-1: 1,Bedrooms in Unit-2: 1,Total Bathrooms in Unit-1: 1,Total Bathrooms in Unit-2: 1,Calculated Total Monthly Association Fees: 0,"Community Features: Curbs, Sidewalks",Source Listing Status: Active,County: Riverside,Source Property Type: Multi-Family,Insurance Expense: 700.00,Area: 259 - Moreno Valley,Source Neighborhood: 259 - Moreno Valley,Parcel Number: 481250010,Postal Code Plus 4: 2888,Trash Expense: 650.00,Zoning: R2,Source System Name: C2C,Net Operating Income: 21500.00,Total Square Feet Living: 1500.00,Year Built: 1931,Building Features: 1,Common Walls: 1 Common Wall,Direction Faces: North,Foundation Details: Raised,Property Age: 90,Property Attached: Yes,Property Condition: Repairs Cosmetic,Levels or Stories: One,Building Total Stories: 1,Year Built Source: Assessor,"Sewer: Sewer: Public Sewer, Water Sewer Expense: 1150.00",Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/7221-Travis-Pl_Rancho-Cucamonga_CA_91739_M25717-02319,599000,"7221 Travis Pl, Rancho Cucamonga, CA 91739",CA 91739,4,2,"1,286",4500,Bedrooms: 4,Bedrooms On Main Level: 4,Total Bathrooms: 2,Full Bathrooms: 2,Bathrooms On Main Level: 2,"Bathroom 1 Features: Shower in Tub, Formica Counters",Ceiling Fan(s),High Ceilings,Flooring: Tile,"Kitchen Appliances: Gas Oven, Gas Range",Appliances YN: Y,Laundry Features: Individual Room,"Entry, Kitchen, Laundry, Living Room, Master Suite",Cooling Features: Central Air,Fireplace Features: Fireplace: Y,Heating Features: Central,Heating: Yes,Breakfast Room Description: Dining Room,"Patio And Porch Features: Patio YN: Y, Patio And Porch Features: Concrete",Road Frontage Type: City Street,Road Surface Type: Paved,Lot Description: 0-1 Unit/Acre,Lot Size Acres: 0.1033058,Lot Size Source: Assessor,Lot Size Square Feet: 4500,Garage Spaces: 2,Garage Description: Attached,"Parking Features: Parking YN: Y, Parking Features: Garage - Single Door",Parking Total: 2,View: View: Y,School District: Chaffey Joint Union High,Calculated Total Monthly Association Fees: 0,"Community Features: Biking, Curbs, Sidewalks, Street Lights",Source Listing Status: Active,County: San Bernardino,"Directions: East on Baseline, Left on Swanson Pl, and left on Province and follow bend, house is the 7th on the right",Source Property Type: Single Family Residence,Area: 688 - Rancho Cucamonga,Source Neighborhood: 688 - Rancho Cucamonga,Parcel Number: 1089601410000,Postal Code Plus 4: 1810,Source System Name: C2C,Total Square Feet Living: 1286.00,Year Built: 1987,Common Walls: No Common Walls,Construction Materials: Concrete,Foundation Details: Brick/Mortar,Living Area Source: Assessor,Property Age: 34,Property Condition: Repairs Cosmetic,Levels or Stories: One,Building Total Stories: 1,House Style: Contemporary,Year Built Source: Assessor,Architectural Style: Single Family Residence,Electric: Standard,Sewer: Public Sewer,Electricity Connected,Natural Gas Connected,Sewer Connected,Water Connected,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/151-Coriander-Ave_Morgan-Hill_CA_95037_M17448-57815,1790000,"151 Coriander Ave, Morgan Hill, CA 95037",CA 95037,5,3.5,"3,342",14374.8,Bedrooms: 5,"Bedroom 1 Description: Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",Total Bathrooms: 3 / 1,Full Bathrooms: 3,1/2 Bathrooms: 1,High Ceiling,Walk-in Closet,"Flooring: Carpet, Hardwood, Tile",High Ceiling,Walk-in Closet,"Laundry Features: Tub / Sink, Washer / Dryer",Cooktop - Gas,Countertop - Granite,Dishwasher,Garbage Disposal,Island,Microwave,Oven - Double,Pantry,Refrigerator,"Dining Room Description: Eat in Kitchen, Formal Dining Room",Cooling Features: Central AC,"Fireplace Features: Fireplace in Family Room, Gas Burning Fireplace, Fireplace in Living Room, Fireplace in Master Bedroom",Heating Features: Central Forced Air - Gas Heating,"Extra Room-1 Description: Den / Study / Office, Formal Entry, Laundry Room",Family Room Description: Separate Family Room,Fencing: Partial Fencing,Lot Size Acres: 0.3298,Lot Size Source: Assessor,Lot Size Square Feet: 14368,Garage Spaces: 3,"Parking Features: Attached Garage, Electric Gate, Gate / Door Opener",High Ceiling,Walk-in Closet,Association: Yes,Association Fee: 95,Association Fee Frequency: Monthly,"Association Fee Includes: Common Area Electricity, Common Area Gas, Maintenance - Common Area",Calculated Total Monthly Association Fees: 95,Association Name: Capriano Estates,High School District: Morgan Hill Unified,Source Listing Status: Active,County: Santa Clara,Cross Street: Dougherty,Source Property Type: Single Family,Area: Morgan Hill / Gilroy / San Martin,Source Neighborhood: Morgan Hill / Gilroy / San Martin,Parcel Number: 764-59-049,Postal City: MORGAN HILL,Zoning: R1,Source System Name: C2C,Total Square Feet Living: 3342,Year Built: 2006,Foundation Details: Concrete Perimeter and Slab,Property Age: 15,Roof: Concrete,Levels or Stories: 2,Total Area Sqft: 3342,Year Built Source: Assessor,"Amenities Misc.: High Ceiling , Walk-in Closet",Sewer: Sewer - Public,Public Utilities,Security Features: Security Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
